query	target	fident	alnlen	mismatch	gapopen	qstart	qend	qlen	qcov	tstart	tend	tlen	tcov	evalue	bits
Q62009|POSTN_MOUSE	Q62009-4|POSTN-4_MOUSE	0.890	838	86	0	1	838	838	1.000	1	784	784	1.000	0.000E+00	1553
Q62009|POSTN_MOUSE	G3QUZ5|G3QUZ5_GORGO	0.890	838	92	0	1	838	838	1.000	1	836	836	1.000	0.000E+00	1553
Q62009|POSTN_MOUSE	Q62009-5|POSTN-5_MOUSE	0.889	838	87	0	1	838	838	1.000	1	783	783	1.000	0.000E+00	1551
Q62009|POSTN_MOUSE	A0A2I3S1C4|A0A2I3S1C4_PANTR	0.889	838	93	0	1	838	838	1.000	1	836	836	1.000	0.000E+00	1551
Q62009|POSTN_MOUSE	D1Z308|D1Z308_BOVIN	0.888	838	94	0	1	838	838	1.000	1	836	836	1.000	0.000E+00	1549
Q62009|POSTN_MOUSE	A0A097BW25|A0A097BW25_RAT	0.874	838	99	0	1	838	838	1.000	1	783	783	1.000	0.000E+00	1522
Q62009|POSTN_MOUSE	A0A2I3S777|A0A2I3S777_PANTR	0.895	812	85	0	1	812	838	0.969	1	810	812	0.998	0.000E+00	1516
Q62009|POSTN_MOUSE	A0A5F4DDV1|A0A5F4DDV1_CANLF	0.865	838	109	0	1	838	838	1.000	1	809	809	1.000	0.000E+00	1503
Q62009|POSTN_MOUSE	A0A2I2ZXC3|A0A2I2ZXC3_GORGO	0.866	837	111	0	1	827	838	0.987	1	837	853	0.981	0.000E+00	1503
Q62009|POSTN_MOUSE	A0A5F4DKC3|A0A5F4DKC3_CANLF	0.863	838	110	0	1	838	838	1.000	1	806	806	1.000	0.000E+00	1500
Q62009|POSTN_MOUSE	A0A2I3SNS9|A0A2I3SNS9_PANTR	0.866	835	111	0	1	827	838	0.987	1	835	865	0.965	0.000E+00	1500
Q62009|POSTN_MOUSE	E2QYG1|E2QYG1_CANLF	0.863	838	111	0	1	838	838	1.000	1	808	808	1.000	0.000E+00	1499
Q62009|POSTN_MOUSE	Q15063-5|POSTN-5_HUMAN	0.858	838	115	0	1	838	838	1.000	1	809	809	1.000	0.000E+00	1490
Q62009|POSTN_MOUSE	A0A2I2YTD4|A0A2I2YTD4_GORGO	0.858	838	115	0	1	838	838	1.000	1	809	809	1.000	0.000E+00	1489
Q62009|POSTN_MOUSE	A0A2I3SQ41|A0A2I3SQ41_PANTR	0.857	838	116	0	1	838	838	1.000	1	809	809	1.000	0.000E+00	1488
Q62009|POSTN_MOUSE	B1ALD9|B1ALD9_HUMAN	0.857	838	115	0	1	838	838	1.000	1	808	808	1.000	0.000E+00	1487
Q62009|POSTN_MOUSE	A0A3Q1MF21|A0A3Q1MF21_BOVIN	0.856	838	116	0	1	838	838	1.000	1	806	806	1.000	0.000E+00	1486
Q62009|POSTN_MOUSE	A0A2I2ZP34|A0A2I2ZP34_GORGO	0.856	838	116	0	1	838	838	1.000	1	808	808	1.000	0.000E+00	1485
Q62009|POSTN_MOUSE	A0A3Q1N5X2|A0A3Q1N5X2_BOVIN	0.856	838	116	0	1	838	838	1.000	1	809	809	1.000	0.000E+00	1485
Q62009|POSTN_MOUSE	H2Q7F8|H2Q7F8_PANTR	0.854	838	118	0	1	838	838	1.000	1	808	808	1.000	0.000E+00	1482
Q62009|POSTN_MOUSE	A0A3Q1NNK1|A0A3Q1NNK1_BOVIN	0.853	838	119	0	1	838	838	1.000	1	808	808	1.000	0.000E+00	1480
Q62009|POSTN_MOUSE	F6TB66|F6TB66_MONDO	0.844	838	129	0	1	838	838	1.000	1	830	830	1.000	0.000E+00	1461
Q62009|POSTN_MOUSE	A0A5F4CU77|A0A5F4CU77_CANLF	0.833	838	130	0	1	838	838	1.000	1	779	779	1.000	0.000E+00	1440
Q62009|POSTN_MOUSE	Q15063-2|POSTN-2_HUMAN	0.827	838	135	0	1	838	838	1.000	1	779	779	1.000	0.000E+00	1427
Q62009|POSTN_MOUSE	Q2KJC7|Q2KJC7_BOVIN	0.826	838	135	0	1	838	838	1.000	1	779	779	1.000	0.000E+00	1427
Q62009|POSTN_MOUSE	A0A2I2YVT8|A0A2I2YVT8_GORGO	0.826	838	135	0	1	838	838	1.000	1	779	779	1.000	0.000E+00	1425
Q62009|POSTN_MOUSE	A0A2I3TPJ2|A0A2I3TPJ2_PANTR	0.826	838	135	0	1	838	838	1.000	1	779	779	1.000	0.000E+00	1425
Q62009|POSTN_MOUSE	Q15063-3|POSTN-3_HUMAN	0.824	838	137	0	1	838	838	1.000	1	781	781	1.000	0.000E+00	1422
Q62009|POSTN_MOUSE	A0A5F4DBH8|A0A5F4DBH8_CANLF	0.833	827	128	0	1	827	838	0.987	1	770	794	0.970	0.000E+00	1420
Q62009|POSTN_MOUSE	A0A5F4CN27|A0A5F4CN27_CANLF	0.866	783	101	0	1	783	838	0.934	1	754	770	0.979	0.000E+00	1407
Q62009|POSTN_MOUSE	A0A5F8GCT4|A0A5F8GCT4_MONDO	0.813	838	150	0	1	838	838	1.000	1	803	803	1.000	0.000E+00	1399
Q62009|POSTN_MOUSE	A0A5F8HIW3|A0A5F8HIW3_MONDO	0.812	838	151	0	1	838	838	1.000	1	802	802	1.000	0.000E+00	1397
Q62009|POSTN_MOUSE	A0A5F4D8M3|A0A5F4D8M3_CANLF	0.799	838	150	0	1	838	838	1.000	1	749	749	1.000	0.000E+00	1371
Q62009|POSTN_MOUSE	Q15063-4|POSTN-4_HUMAN	0.792	838	156	0	1	838	838	1.000	1	751	751	1.000	0.000E+00	1359
Q62009|POSTN_MOUSE	Q15063-6|POSTN-6_HUMAN	0.792	838	156	0	1	838	838	1.000	1	749	749	1.000	0.000E+00	1358
Q62009|POSTN_MOUSE	A0A5F8GQG6|A0A5F8GQG6_MONDO	0.792	838	162	0	1	838	838	1.000	1	779	779	1.000	0.000E+00	1357
Q62009|POSTN_MOUSE	A0A2I2YLR3|A0A2I2YLR3_GORGO	0.791	838	156	0	1	838	838	1.000	1	749	749	1.000	0.000E+00	1356
Q62009|POSTN_MOUSE	A0A2I3SDV5|A0A2I3SDV5_PANTR	0.791	838	156	0	1	838	838	1.000	1	749	749	1.000	0.000E+00	1356
Q62009|POSTN_MOUSE	A0A5F8HIW0|A0A5F8HIW0_MONDO	0.762	838	178	0	1	838	838	1.000	1	749	749	1.000	0.000E+00	1298
Q62009|POSTN_MOUSE	Q15063-7|POSTN-7_HUMAN	0.758	838	174	0	1	838	838	1.000	1	721	721	1.000	0.000E+00	1290
Q62009|POSTN_MOUSE	A0A3Q2UC30|A0A3Q2UC30_CHICK	0.769	820	187	0	14	833	838	0.979	13	824	828	0.981	0.000E+00	1283
Q62009|POSTN_MOUSE	A0A3Q2U321|A0A3Q2U321_CHICK	0.744	841	210	0	14	833	838	0.979	13	853	857	0.981	0.000E+00	1268
Q62009|POSTN_MOUSE	A0A3Q2TUR8|A0A3Q2TUR8_CHICK	0.750	820	203	0	14	833	838	0.979	13	826	830	0.981	0.000E+00	1247
Q62009|POSTN_MOUSE	A0A3Q2U1B0|A0A3Q2U1B0_CHICK	0.745	825	209	0	14	833	838	0.979	13	837	841	0.981	0.000E+00	1245
Q62009|POSTN_MOUSE	A0A3Q2UBV6|A0A3Q2UBV6_CHICK	0.741	820	203	0	14	833	838	0.979	13	797	801	0.980	0.000E+00	1229
Q62009|POSTN_MOUSE	F1N8W3|F1N8W3_CHICK	0.734	820	215	0	14	833	838	0.979	13	821	825	0.981	0.000E+00	1215
Q62009|POSTN_MOUSE	F1P4N9|F1P4N9_CHICK	0.722	820	220	0	14	833	838	0.979	13	805	809	0.980	0.000E+00	1193
Q62009|POSTN_MOUSE	A0A6I8RT64|A0A6I8RT64_XENTR	0.660	835	274	0	13	819	838	0.963	5	839	955	0.874	0.000E+00	1090
Q62009|POSTN_MOUSE	A0A6I8STU8|A0A6I8STU8_XENTR	0.652	845	280	0	13	819	838	0.963	5	849	1021	0.828	0.000E+00	1088
Q62009|POSTN_MOUSE	A0A6I8SHV8|A0A6I8SHV8_XENTR	0.652	845	280	0	13	819	838	0.963	5	849	1053	0.802	0.000E+00	1088
Q62009|POSTN_MOUSE	A0A6I8Q6H3|A0A6I8Q6H3_XENTR	0.652	845	280	0	13	819	838	0.963	5	849	1053	0.802	0.000E+00	1088
Q62009|POSTN_MOUSE	A0A6I8SKP7|A0A6I8SKP7_XENTR	0.652	845	280	0	13	819	838	0.963	5	849	1053	0.802	0.000E+00	1088
Q62009|POSTN_MOUSE	A0A6I8RCS6|A0A6I8RCS6_XENTR	0.656	839	275	0	13	813	838	0.956	5	843	1053	0.797	0.000E+00	1088
Q62009|POSTN_MOUSE	A0A6I8RTB3|A0A6I8RTB3_XENTR	0.656	839	275	0	13	813	838	0.956	5	843	1053	0.797	0.000E+00	1088
Q62009|POSTN_MOUSE	F6R8E6|F6R8E6_XENTR	0.652	845	280	0	13	819	838	0.963	5	849	1086	0.778	0.000E+00	1088
Q62009|POSTN_MOUSE	A0A6I8RJX8|A0A6I8RJX8_XENTR	0.655	839	276	0	13	813	838	0.956	5	843	1053	0.797	0.000E+00	1086
Q62009|POSTN_MOUSE	A0A6I8SFA1|A0A6I8SFA1_XENTR	0.688	777	241	0	13	789	838	0.927	4	776	795	0.972	0.000E+00	1067
Q62009|POSTN_MOUSE	W5MPT1|W5MPT1_LEPOC	0.667	800	262	0	24	812	838	0.942	22	821	821	0.974	0.000E+00	1058
Q62009|POSTN_MOUSE	Q75U66|Q75U66_DANRE	0.610	773	294	0	24	796	838	0.922	22	777	782	0.967	5.121E-293	917
Q62009|POSTN_MOUSE	A0A0R4IS83|A0A0R4IS83_DANRE	0.610	773	300	0	24	796	838	0.922	22	792	797	0.967	7.008E-293	917
Q62009|POSTN_MOUSE	A0A0R4IPF4|A0A0R4IPF4_DANRE	0.609	773	296	0	24	796	838	0.922	22	780	785	0.967	1.796E-292	916
Q62009|POSTN_MOUSE	A0A0R4INY2|A0A0R4INY2_DANRE	0.622	748	276	0	24	771	838	0.893	22	751	756	0.966	1.983E-290	910
Q62009|POSTN_MOUSE	E7F5I3|E7F5I3_DANRE	0.577	796	335	0	24	819	838	0.950	22	813	882	0.898	4.933E-281	883
Q62009|POSTN_MOUSE	A0A3B3HQ51|A0A3B3HQ51_ORYLA	0.635	700	253	0	24	716	838	0.827	20	719	729	0.960	6.673E-278	874
Q62009|POSTN_MOUSE	A0A3B3HUB7|A0A3B3HUB7_ORYLA	0.667	658	218	0	24	681	838	0.785	20	676	719	0.914	3.198E-277	872
Q62009|POSTN_MOUSE	A0A3B3IBI9|A0A3B3IBI9_ORYLA	0.667	658	218	0	24	681	838	0.785	20	676	719	0.914	3.198E-277	872
Q62009|POSTN_MOUSE	H2LET9|H2LET9_ORYLA	0.667	658	218	0	24	681	838	0.785	20	676	723	0.909	3.198E-277	872
Q62009|POSTN_MOUSE	H2LEU3|H2LEU3_ORYLA	0.679	633	203	0	24	656	838	0.755	20	652	654	0.968	1.217E-271	856
Q62009|POSTN_MOUSE	E9QIF5|E9QIF5_DANRE	0.655	658	227	0	24	681	838	0.785	22	679	695	0.947	1.092E-270	853
Q62009|POSTN_MOUSE	H2LEU1|H2LEU1_ORYLA	0.645	658	229	0	24	681	838	0.785	20	664	707	0.912	2.212E-265	837
Q62009|POSTN_MOUSE	A0A3B3I1D6|A0A3B3I1D6_ORYLA	0.551	787	351	0	10	796	838	0.939	9	791	824	0.950	6.825E-261	824
Q62009|POSTN_MOUSE	A0A3B3HTU1|A0A3B3HTU1_ORYLA	0.547	787	350	0	10	796	838	0.939	9	782	815	0.950	2.621E-258	817
Q62009|POSTN_MOUSE	A0A6I8SCL8|A0A6I8SCL8_XENTR	0.536	610	282	0	27	636	838	0.728	25	633	660	0.923	1.195E-189	617
Q62009|POSTN_MOUSE	H2RC92|H2RC92_PANTR	0.534	610	283	0	23	632	838	0.728	26	634	683	0.892	7.742E-189	615
Q62009|POSTN_MOUSE	Q15582|BGH3_HUMAN	0.534	610	283	0	23	632	838	0.728	26	634	683	0.892	7.742E-189	615
Q62009|POSTN_MOUSE	G3R261|G3R261_GORGO	0.534	610	283	0	23	632	838	0.728	26	634	683	0.892	7.742E-189	615
Q62009|POSTN_MOUSE	A0A2I3RNS3|A0A2I3RNS3_PANTR	0.534	610	283	0	23	632	838	0.728	26	634	706	0.863	7.742E-189	615
Q62009|POSTN_MOUSE	F7D4G3|F7D4G3_XENTR	0.516	636	305	0	27	658	838	0.754	20	655	674	0.944	1.443E-188	614
Q62009|POSTN_MOUSE	A0A6I8QGD2|A0A6I8QGD2_XENTR	0.516	636	305	0	27	658	838	0.754	22	657	676	0.941	1.443E-188	614
Q62009|POSTN_MOUSE	D4A8G5|D4A8G5_RAT	0.503	657	324	0	1	652	838	0.778	4	660	685	0.959	1.443E-188	614
Q62009|POSTN_MOUSE	G3RTB6|G3RTB6_GORGO	0.525	621	294	0	23	643	838	0.741	26	644	693	0.893	2.690E-188	613
Q62009|POSTN_MOUSE	A0A6I8RL64|A0A6I8RL64_XENTR	0.535	606	281	0	27	632	838	0.723	25	629	643	0.941	3.673E-188	613
Q62009|POSTN_MOUSE	Q0V9T4|Q0V9T4_XENTR	0.535	606	281	0	27	632	838	0.723	25	629	677	0.894	3.673E-188	613
Q62009|POSTN_MOUSE	Q3UXJ2|Q3UXJ2_MOUSE	0.531	610	285	0	23	632	838	0.728	26	634	651	0.935	1.743E-187	611
Q62009|POSTN_MOUSE	P82198|BGH3_MOUSE	0.531	610	285	0	23	632	838	0.728	26	634	683	0.892	1.743E-187	611
Q62009|POSTN_MOUSE	P55906|BGH3_BOVIN	0.518	629	302	0	4	632	838	0.751	7	634	683	0.919	3.249E-187	610
Q62009|POSTN_MOUSE	A0A1D5PXP9|A0A1D5PXP9_CHICK	0.528	612	287	0	21	632	838	0.730	17	626	680	0.897	1.129E-186	608
Q62009|POSTN_MOUSE	Q503K1|Q503K1_DANRE	0.514	619	299	0	23	641	838	0.739	20	636	677	0.911	4.454E-182	595
Q62009|POSTN_MOUSE	F7D796|F7D796_MONDO	0.508	628	308	0	5	632	838	0.749	8	634	684	0.917	1.133E-181	594
Q62009|POSTN_MOUSE	F1PW10|F1PW10_CANLF	0.533	590	275	0	43	632	838	0.704	1	589	638	0.923	2.881E-181	593
Q62009|POSTN_MOUSE	A0A6I8QYB9|A0A6I8QYB9_XENTR	0.509	624	304	0	39	658	838	0.740	5	628	647	0.964	5.367E-181	592
Q62009|POSTN_MOUSE	A0A3Q1MNL9|A0A3Q1MNL9_BOVIN	0.528	590	278	0	43	632	838	0.704	5	593	642	0.917	3.063E-179	587
Q62009|POSTN_MOUSE	H2N1S0|H2N1S0_ORYLA	0.508	619	303	0	23	641	838	0.739	19	634	677	0.910	7.786E-179	586
Q62009|POSTN_MOUSE	A0A5F8GLY4|A0A5F8GLY4_MONDO	0.480	628	311	0	5	632	838	0.749	8	607	657	0.913	3.148E-167	552
Q62009|POSTN_MOUSE	A0A5F8H036|A0A5F8H036_MONDO	0.480	628	311	0	5	632	838	0.749	8	607	657	0.913	3.148E-167	552
Q62009|POSTN_MOUSE	A0A6I8SXA7|A0A6I8SXA7_XENTR	0.537	533	246	0	43	575	838	0.636	4	536	537	0.993	7.377E-164	542
Q62009|POSTN_MOUSE	A0A6I8QD38|A0A6I8QD38_XENTR	0.534	533	246	0	43	575	838	0.636	26	553	554	0.953	3.053E-162	537
Q62009|POSTN_MOUSE	F1MBS3|F1MBS3_BOVIN	0.467	629	323	0	4	632	838	0.751	7	613	649	0.935	2.677E-161	534
Q62009|POSTN_MOUSE	A0A6I8SZ77|A0A6I8SZ77_XENTR	0.469	606	296	0	27	632	838	0.723	25	583	626	0.893	1.207E-155	518
Q62009|POSTN_MOUSE	W5N0J7|W5N0J7_LEPOC	0.454	622	337	0	23	640	838	0.737	21	642	687	0.905	2.781E-152	508
Q62009|POSTN_MOUSE	C3XS70|C3XS70_BRAFL	0.336	603	390	0	30	632	838	0.720	24	611	831	0.708	2.059E-90	324
A0A2K1IBX3|A0A2K1IBX3_PHYPA	A0A2K1IBX3|A0A2K1IBX3_PHYPA	1.000	315	0	0	1	315	315	1.000	1	315	315	1.000	5.565E-187	582
A0A2K1IBX3|A0A2K1IBX3_PHYPA	A0A2K1KNS3|A0A2K1KNS3_PHYPA	0.527	309	145	0	1	308	315	0.978	1	309	316	0.978	7.698E-92	308
A0A2K1IBX3|A0A2K1IBX3_PHYPA	A0A2K1K9R6|A0A2K1K9R6_PHYPA	0.340	302	198	0	7	307	315	0.956	8	309	317	0.953	2.290E-43	167
A0A3B3I1D6|A0A3B3I1D6_ORYLA	A0A3B3I1D6|A0A3B3I1D6_ORYLA	1.000	824	0	0	1	824	824	1.000	1	824	824	1.000	0.000E+00	1638
A0A3B3I1D6|A0A3B3I1D6_ORYLA	A0A3B3HTU1|A0A3B3HTU1_ORYLA	0.933	824	55	0	1	824	824	1.000	1	815	815	1.000	0.000E+00	1612
A0A3B3I1D6|A0A3B3I1D6_ORYLA	E7F5I3|E7F5I3_DANRE	0.617	796	303	0	11	803	824	0.962	11	806	882	0.902	3.621E-307	958
A0A3B3I1D6|A0A3B3I1D6_ORYLA	A0A0R4IS83|A0A0R4IS83_DANRE	0.592	805	324	0	3	807	824	0.977	2	796	797	0.997	2.335E-294	921
A0A3B3I1D6|A0A3B3I1D6_ORYLA	A0A0R4IPF4|A0A0R4IPF4_DANRE	0.600	789	311	0	3	791	824	0.958	2	780	785	0.992	1.121E-293	919
A0A3B3I1D6|A0A3B3I1D6_ORYLA	E9QIF5|E9QIF5_DANRE	0.698	654	197	0	11	664	824	0.794	11	664	695	0.941	2.582E-292	915
A0A3B3I1D6|A0A3B3I1D6_ORYLA	Q75U66|Q75U66_DANRE	0.587	805	322	0	3	807	824	0.977	2	781	782	0.997	1.695E-291	912
A0A3B3I1D6|A0A3B3I1D6_ORYLA	W5MPT1|W5MPT1_LEPOC	0.587	804	325	0	1	789	824	0.958	1	804	821	0.979	8.136E-291	910
A0A3B3I1D6|A0A3B3I1D6_ORYLA	A0A0R4INY2|A0A0R4INY2_DANRE	0.621	749	280	0	3	741	824	0.897	2	750	756	0.991	1.524E-290	910
A0A3B3I1D6|A0A3B3I1D6_ORYLA	A0A3B3HUB7|A0A3B3HUB7_ORYLA	0.656	664	227	0	1	664	824	0.806	1	662	719	0.921	6.269E-274	861
A0A3B3I1D6|A0A3B3I1D6_ORYLA	A0A3B3IBI9|A0A3B3IBI9_ORYLA	0.656	664	227	0	1	664	824	0.806	1	662	719	0.921	6.269E-274	861
A0A3B3I1D6|A0A3B3I1D6_ORYLA	H2LET9|H2LET9_ORYLA	0.656	664	227	0	1	664	824	0.806	1	662	723	0.916	6.269E-274	861
A0A3B3I1D6|A0A3B3I1D6_ORYLA	A0A3B3HQ51|A0A3B3HQ51_ORYLA	0.656	664	227	0	1	664	824	0.806	1	662	729	0.908	6.269E-274	861
A0A3B3I1D6|A0A3B3I1D6_ORYLA	H2LEU3|H2LEU3_ORYLA	0.656	654	224	0	1	654	824	0.794	1	652	654	0.997	1.947E-269	848
A0A3B3I1D6|A0A3B3I1D6_ORYLA	H2LEU1|H2LEU1_ORYLA	0.635	664	237	0	1	664	824	0.806	1	650	707	0.919	1.698E-262	828
A0A3B3I1D6|A0A3B3I1D6_ORYLA	E2QUG4|E2QUG4_CANLF	0.555	784	347	0	12	791	824	0.947	11	794	836	0.938	2.323E-262	828
A0A3B3I1D6|A0A3B3I1D6_ORYLA	F6TB66|F6TB66_MONDO	0.542	805	367	0	10	814	824	0.977	9	810	830	0.966	8.133E-262	826
A0A3B3I1D6|A0A3B3I1D6_ORYLA	A0A3Q2UC30|A0A3Q2UC30_CHICK	0.562	769	334	0	22	790	824	0.933	23	785	828	0.921	1.522E-261	826
A0A3B3I1D6|A0A3B3I1D6_ORYLA	A0A3Q2U321|A0A3Q2U321_CHICK	0.562	769	334	0	22	790	824	0.933	23	785	857	0.890	1.522E-261	826
A0A3B3I1D6|A0A3B3I1D6_ORYLA	A0A5F4DKC3|A0A5F4DKC3_CANLF	0.555	780	335	0	12	791	824	0.947	11	764	806	0.935	5.329E-261	824
A0A3B3I1D6|A0A3B3I1D6_ORYLA	A0A3Q1MF21|A0A3Q1MF21_BOVIN	0.551	786	340	0	6	791	824	0.954	7	764	806	0.940	7.289E-261	824
A0A3B3I1D6|A0A3B3I1D6_ORYLA	A0A3Q2UBV6|A0A3Q2UBV6_CHICK	0.549	789	349	0	22	810	824	0.958	23	797	801	0.968	2.552E-260	822
A0A3B3I1D6|A0A3B3I1D6_ORYLA	A0A5F8HIW3|A0A5F8HIW3_MONDO	0.544	798	358	0	10	807	824	0.968	9	795	802	0.981	2.552E-260	822
A0A3B3I1D6|A0A3B3I1D6_ORYLA	D1Z308|D1Z308_BOVIN	0.549	788	354	0	6	791	824	0.954	7	794	836	0.943	2.552E-260	822
A0A3B3I1D6|A0A3B3I1D6_ORYLA	A0A6I8RT64|A0A6I8RT64_XENTR	0.552	783	343	0	25	790	824	0.930	27	809	955	0.820	2.552E-260	822
A0A3B3I1D6|A0A3B3I1D6_ORYLA	A0A6I8STU8|A0A6I8STU8_XENTR	0.552	783	343	0	25	790	824	0.930	27	809	1021	0.767	2.552E-260	822
A0A3B3I1D6|A0A3B3I1D6_ORYLA	A0A6I8SHV8|A0A6I8SHV8_XENTR	0.552	783	343	0	25	790	824	0.930	27	809	1053	0.744	2.552E-260	822
A0A3B3I1D6|A0A3B3I1D6_ORYLA	A0A6I8Q6H3|A0A6I8Q6H3_XENTR	0.552	783	343	0	25	790	824	0.930	27	809	1053	0.744	2.552E-260	822
A0A3B3I1D6|A0A3B3I1D6_ORYLA	A0A6I8SKP7|A0A6I8SKP7_XENTR	0.552	783	343	0	25	790	824	0.930	27	809	1053	0.744	2.552E-260	822
A0A3B3I1D6|A0A3B3I1D6_ORYLA	A0A6I8RCS6|A0A6I8RCS6_XENTR	0.552	783	343	0	25	790	824	0.930	27	809	1053	0.744	2.552E-260	822
A0A3B3I1D6|A0A3B3I1D6_ORYLA	A0A6I8RTB3|A0A6I8RTB3_XENTR	0.552	783	343	0	25	790	824	0.930	27	809	1053	0.744	2.552E-260	822
A0A3B3I1D6|A0A3B3I1D6_ORYLA	F6R8E6|F6R8E6_XENTR	0.552	783	343	0	25	790	824	0.930	27	809	1086	0.721	2.552E-260	822
A0A3B3I1D6|A0A3B3I1D6_ORYLA	E2QYG1|E2QYG1_CANLF	0.545	796	359	0	12	807	824	0.966	11	801	808	0.979	3.491E-260	822
A0A3B3I1D6|A0A3B3I1D6_ORYLA	A0A3Q2TUR8|A0A3Q2TUR8_CHICK	0.558	773	340	0	22	794	824	0.938	23	792	830	0.928	3.491E-260	822
A0A3B3I1D6|A0A3B3I1D6_ORYLA	A0A6I8RJX8|A0A6I8RJX8_XENTR	0.552	783	343	0	25	790	824	0.930	27	809	1053	0.744	3.491E-260	822
A0A3B3I1D6|A0A3B3I1D6_ORYLA	A0A2I3S1C4|A0A2I3S1C4_PANTR	0.532	820	373	0	12	808	824	0.967	11	830	836	0.981	6.532E-260	821
A0A3B3I1D6|A0A3B3I1D6_ORYLA	G3QUZ5|G3QUZ5_GORGO	0.531	820	373	0	12	808	824	0.967	11	830	836	0.981	1.222E-259	820
A0A3B3I1D6|A0A3B3I1D6_ORYLA	A0A5F4DDV1|A0A5F4DDV1_CANLF	0.552	780	339	0	12	791	824	0.947	11	767	809	0.936	3.128E-259	819
A0A3B3I1D6|A0A3B3I1D6_ORYLA	Q15063|POSTN_HUMAN	0.550	784	351	0	12	791	824	0.947	11	794	836	0.938	3.128E-259	819
A0A3B3I1D6|A0A3B3I1D6_ORYLA	Q62009|POSTN_MOUSE	0.548	787	353	0	9	791	824	0.950	10	796	838	0.939	3.128E-259	819
A0A3B3I1D6|A0A3B3I1D6_ORYLA	A0A3Q1N5X2|A0A3Q1N5X2_BOVIN	0.549	786	343	0	6	791	824	0.954	7	767	809	0.941	4.279E-259	818
A0A3B3I1D6|A0A3B3I1D6_ORYLA	A0A2I3S777|A0A2I3S777_PANTR	0.549	784	351	0	12	791	824	0.947	11	794	812	0.966	5.854E-259	818
A0A3B3I1D6|A0A3B3I1D6_ORYLA	A0A5F8GCT4|A0A5F8GCT4_MONDO	0.537	805	358	0	10	814	824	0.977	9	783	803	0.965	3.834E-258	816
